CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg17361163,chr7:101006019,7,101006019,EMID2,Island,-0.011,0.00099,0,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg18026197,chr3:126422536,3,126422536,CHCHD6,North shore,-0.014,0.0016,0,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg19063834,chr5:16509047,5,16509047,FAM134B,Open sea,-0.0048,0.00086,1.6e-08,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg19336497,chr11:14380999,11,14380999,RRAS2,South shore,-0.0058,0.0012,2.5e-06,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg21960279,chr19:17905606,19,17905606,B3GNT3,Island,0.0052,0.0011,5.6e-06,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg25290307,chr7:101005910,7,101005910,EMID2,Island,-0.011,0.0013,0,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg26175789,chr2:75821892,2,75821892,-,Open sea,-0.02,0.0015,0,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg02255242,chr15:33420912,15,33420912,-,Open sea,-0.0061,0.0014,2.3e-05,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg03526776,chr6:41159608,6,41159608,TREML2,Open sea,0.005,0.00099,4.7e-07,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg07103846,chr17:80970159,17,80970159,B3GNTL1,Island,-0.011,0.0023,3.5e-06,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09420691,chr21:43229483,21,43229483,PRDM15,Island,-0.0044,0.00095,3.2e-06,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15501526,chr10:2543763,10,2543763,-,Island,-0.014,0.0023,8.7e-10,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg18026197,chr3:126422536,3,126422536,CHCHD6,North shore,0.0071,0.0015,1.5e-06,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg20910361,chr4:141877033,4,141877033,RNF150,Open sea,-0.012,0.0027,1e-05,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg21960279,chr19:17905606,19,17905606,B3GNT3,Island,0.0054,0.0011,4.2e-07,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg26175789,chr2:75821892,2,75821892,-,Open sea,0.0057,0.0014,8.1e-05,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg01049884,chr8:48418189,8,48418189,KIAA0146,Open sea,0.0031,NA,2e-05,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09420691,chr21:43229483,21,43229483,PRDM15,Island,0.0056,NA,3.9e-15,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,0.0021,NA,2e-05,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg25857471,chr6:30910113,6,30910113,DPCR1,Open sea,0.006,NA,6.5e-08,NA,33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 9y with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg00240732,chr7:70923396,7,70923396,WBSCR17,Open sea,0.0091,0.0023,8.8e-05,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg02834909,chr3:46759438,3,46759438,PRSS50,Island,0.026,0.0033,8.9e-16,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,-0.014,0.0014,0,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg05554000,chr7:158905015,7,158905015,VIPR2,North shore,0.043,0.0054,1.3e-15,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg05860956,chr12:312595,12,312595,SLC6A12,Island,0.014,0.0033,2.5e-05,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09205595,chr7:150782539,7,150782539,AGAP3,North shore,-0.014,0.0024,1.4e-09,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg13303179,chr3:46759335,3,46759335,PRSS50,Island,0.019,0.0029,8.9e-11,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg13598480,chr20:3145356,20,3145356,ProSAPiP1,Island,-0.047,0.0035,0,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,0.049,0.0026,0,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15501526,chr10:2543763,10,2543763,-,Island,-0.043,0.0079,6.2e-08,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16680214,chr1:154839983,1,154839983,KCNN3,Open sea,0.021,0.0044,1.8e-06,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg18026197,chr3:126422536,3,126422536,CHCHD6,North shore,-0.033,0.0047,4.9e-12,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg20188212,chr12:313104,12,313104,SLC6A12,Island,0.016,0.0033,1.2e-06,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,0.015,0.0011,0,NA,33450751_Mulder-RH_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,sex,PATO_0000047,Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,sex,"gestational age,cohort,cell composition (reference based),batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,0.00084,0.00013,3.4e-11,NA,33450751_Mulder-RH_age_sex_discovery,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age*sex,"PATO_0000047,EFO_0000246",Discovery,http://epidelta.mrcieu.ac.uk/,DNA methylation,age*sex,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,0.0032,0.00054,2.3e-08,NA,33564054_Kashima-K_gestational_age,Kashima K,NA,33564054,2021-02-09,gestational age,EFO_0005112,NA,Supplementary Table 6,DNA methylation,gestational age,"sex, batch effects, cell composition (reference based), cesarean section, maternal pre-pregnancy bmi, maternal smoking before pregnancy, chorioamnionitis, idiopathic premature rupture of the membrane, preeclampsia",Beta Values,weeks,Illumina HumanMethylation450,Cord blood,NA,110,1,Infants,Both,East Asian
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,0.0043,0.00081,5.6e-07,NA,33564054_Kashima-K_gestational_age,Kashima K,NA,33564054,2021-02-09,gestational age,EFO_0005112,NA,Supplementary Table 6,DNA methylation,gestational age,"sex, batch effects, cell composition (reference based), cesarean section, maternal pre-pregnancy bmi, maternal smoking before pregnancy, chorioamnionitis, idiopathic premature rupture of the membrane, preeclampsia",Beta Values,weeks,Illumina HumanMethylation450,Cord blood,NA,110,1,Infants,Both,East Asian
cg06941159,chr16:28875210,16,28875210,SH2B1,Island,NA,NA,1.1e-24,NA,33752734_Yao-C_gene_expression_of_affymetrix_id__3686728__gene_symbol__tufm__meta-analysis,Yao C,"FHS, KORA F4, BLSA, InCHIANTI",33752734,2021-03-22,Gene expression of Affymetrix ID: 3686728 (gene symbol: TUFM),NA,Meta-analysis,Table S6,DNA methylation,Gene expression of Affymetrix ID: 3686728 (gene symbol: TUFM),"Age, sex, cell composition (reference based), batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,4170,1,Adults,Both,Unclear
cg19336497,chr11:14380999,11,14380999,RRAS2,South shore,NA,NA,2e-22,NA,33752734_Yao-C_gene_expression_of_affymetrix_id__3363923__gene_symbol__psma1__meta-analysis,Yao C,"FHS, KORA F4, BLSA, InCHIANTI",33752734,2021-03-22,Gene expression of Affymetrix ID: 3363923 (gene symbol: PSMA1),NA,Meta-analysis,Table S6,DNA methylation,Gene expression of Affymetrix ID: 3363923 (gene symbol: PSMA1),"Age, sex, cell composition (reference based), batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,4170,1,Adults,Both,Unclear
cg22939563,chr7:157162115,7,157162115,DNAJB6,Open sea,NA,NA,7.9e-17,NA,33752734_Yao-C_gene_expression_of_affymetrix_id__3034027__gene_symbol__dnajb6__meta-analysis,Yao C,"FHS, KORA F4, BLSA, InCHIANTI",33752734,2021-03-22,Gene expression of Affymetrix ID: 3034027 (gene symbol: DNAJB6),NA,Meta-analysis,Table S6,DNA methylation,Gene expression of Affymetrix ID: 3034027 (gene symbol: DNAJB6),"Age, sex, cell composition (reference based), batch effects",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,4170,1,Adults,Both,Unclear
cg09420691,chr21:43229483,21,43229483,PRDM15,Island,0.0588,0.0135,1.3e-05,NA,33239103_Vehmeijer-FOL_body_mass_index_childhood_bmi_and_methylation,Vehmeijer FOL,PACE,33239103,2020-11-25,Body mass index,EFO_0004340,childhood BMI and methylation,Table S2C,DNA methylation,Body mass index,"maternal age, maternal educational level, maternal smoking during pregnancy, maternal pre-pregnancy BMI, parity, gestational age at birth, cell composition (reference based)",Beta Values,kg/m2,Illumina HumanMethylation450,Whole blood,NA,3371,23,Children,Both,European
cg02834909,chr3:46759438,3,46759438,PRSS50,Island,9,NA,1.8e-08,NA,34044884_Inkster-A_sex_discovery,Inkster A,"Seven dataset from four North American cohorts. GSE73375, GSE75428, GSE98224, GSE74738, GSE100197, GSE108567, and GSE128827",34044884,2021-03-08,Sex,PATO_0001894,Discovery,Supplementary Table 1,DNA methylation,Sex,"Ancestry (genomic PCs), Gestational age, Dataset",M values,NA,Illumina HumanMethylation450,Placenta,NA,585,4,Infants,Both,"European, East Asian, African, Admixed"
cg13303179,chr3:46759335,3,46759335,PRSS50,Island,5.8,NA,5.7e-07,NA,34044884_Inkster-A_sex_discovery,Inkster A,"Seven dataset from four North American cohorts. GSE73375, GSE75428, GSE98224, GSE74738, GSE100197, GSE108567, and GSE128827",34044884,2021-03-08,Sex,PATO_0001894,Discovery,Supplementary Table 1,DNA methylation,Sex,"Ancestry (genomic PCs), Gestational age, Dataset",M values,NA,Illumina HumanMethylation450,Placenta,NA,585,4,Infants,Both,"European, East Asian, African, Admixed"
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,-0.033,0.00441,3.5e-11,NA,32795589_Kyung-WK_eosinophilia_discovery,Kyung WK,NA,32795589,2020-08-11,eosinophilia,HP_0001880,discovery,Table E4,DNA methylation,eosinophilia,NA,Beta values,NA,Illumina HumanMethylationEPIC,nasal polyp,NA,129,1,Adults,Both,East Asian
cg12751644,chr20:60527061,20,60527061,-,South shelf,0.0138,0.00331,5.2e-05,NA,34427971_Tan-Q_age_discovery,Tan Q,Middle<U+2010>aged Danish Twins (MADT),34427971,"Aug 24, 2021",Age,EFO_0000246,Discovery,Table S1,DNA methylation,Age,Cell composition (reference based),M values,years,Illumina HumanMethylation450,Whole blood,NA,492,1,Geriatrics,Males,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,NA,NA,9.6e-19,NA,34569420_Bozack_infant_sex_umbilical_artery,Bozack,PRISM,34569420,"Oct 22, 2021",Infant sex,PATO_0001894,Umbilical artery,Supplementary table 10,DNA methylation,Infant sex,"Cell composition (reference free), Batch effects, Ancestry (other)",M values,NA,Illumina HumanMethylation450,Umbilical artery,NA,229,1,Infants,Both,"European, African, Other"
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,NA,NA,3.3e-11,NA,34569420_Bozack_infant_sex_umbilical_artery,Bozack,PRISM,34569420,"Oct 22, 2021",Infant sex,PATO_0001894,Umbilical artery,Supplementary table 10,DNA methylation,Infant sex,"Cell composition (reference free), Batch effects, Ancestry (other)",M values,NA,Illumina HumanMethylation450,Umbilical artery,NA,229,1,Infants,Both,"European, African, Other"
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,NA,NA,1.7e-14,NA,34569420_Bozack_infant_sex_cord_blood,Bozack,PRISM,34569420,"Oct 22, 2021",Infant sex,PATO_0001894,Cord blood,Supplementary table 8,DNA methylation,Infant sex,"Cell composition (reference free), Batch effects, Ancestry (other)",M values,NA,Illumina HumanMethylation450,cord blood,NA,179,1,Infants,Both,"European, African, Other"
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,NA,NA,6.9e-12,NA,34569420_Bozack_infant_sex_cord_blood,Bozack,PRISM,34569420,"Oct 22, 2021",Infant sex,PATO_0001894,Cord blood,Supplementary table 8,DNA methylation,Infant sex,"Cell composition (reference free), Batch effects, Ancestry (other)",M values,NA,Illumina HumanMethylation450,cord blood,NA,179,1,Infants,Both,"European, African, Other"
cg05860956,chr12:312595,12,312595,SLC6A12,Island,NA,NA,8.4e-12,NA,34584077_Jenny-van-Dongen_monozygotic_twinning,Jenny van Dongen,"BIOS consortium, GoDMC",34584077,"Sep 28, 2021",monozygotic twinning,NA,NA,supplemental table 3,DNA methylation,monozygotic twinning,"Age, Sex, Smoking, Cell composition (reference free), Cell composition (reference based), Batch effects, Body mass index",Beta values,NA,Illumina HumanMethylation450,whole blood,"we used 450k and EPIC. some cohorts measured the cell counts, others estimated the cell counts with a referenc-based method",5723,5,Adults (18-65 years),Both,European
cg23918315,chr5:140479025,5,140479025,PCDHB3,North shelf,NA,NA,9.9e-12,NA,34584077_Jenny-van-Dongen_monozygotic_twinning,Jenny van Dongen,"BIOS consortium, GoDMC",34584077,"Sep 28, 2021",monozygotic twinning,NA,NA,supplemental table 3,DNA methylation,monozygotic twinning,"Age, Sex, Smoking, Cell composition (reference free), Cell composition (reference based), Batch effects, Body mass index",Beta values,NA,Illumina HumanMethylation450,whole blood,"we used 450k and EPIC. some cohorts measured the cell counts, others estimated the cell counts with a referenc-based method",5723,5,Adults (18-65 years),Both,European
cg20188212,chr12:313104,12,313104,SLC6A12,Island,NA,NA,2.6e-09,NA,34584077_Jenny-van-Dongen_monozygotic_twinning,Jenny van Dongen,"BIOS consortium, GoDMC",34584077,"Sep 28, 2021",monozygotic twinning,NA,NA,supplemental table 3,DNA methylation,monozygotic twinning,"Age, Sex, Smoking, Cell composition (reference free), Cell composition (reference based), Batch effects, Body mass index",Beta values,NA,Illumina HumanMethylation450,whole blood,"we used 450k and EPIC. some cohorts measured the cell counts, others estimated the cell counts with a referenc-based method",5723,5,Adults (18-65 years),Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,0.43,0.099,1.4e-05,NA,30833390_Knijnenburg_very_early_preterm_birth___28_weeks__discovery,Knijnenburg,NA,30833390,"Mar 19, 2019",very early preterm birth (<28 weeks),EFO_0003917,discovery,Supplementary dataset 10,DNA methylation,very early preterm birth (<28 weeks),"Age, Ancestry (genomic PCs), time since birth",M values,NA,Illumina HumanMethylation450,whole blood,NA,784,1,Adults,Females,Admixed
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,-0.45,0.112,6.6e-05,NA,Gadd-DA_mcl1_protein_levels__seqid___10396-6__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,MCL1 protein levels (SeqId = 10396-6),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,MCL1 protein levels (SeqId = 10396-6),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Induced myeloid leukemia cell differentiation protein Mcl-1,774,1,Adults (18-65 years),Both,European
cg06941159,chr16:28875210,16,28875210,SH2B1,Island,-0.43,0.108,7.9e-05,NA,Gadd-DA_zpbp2_protein_levels__seqid___10710-23__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,ZPBP2 protein levels (SeqId = 10710-23),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,ZPBP2 protein levels (SeqId = 10710-23),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Zona pellucida-binding protein 2,774,1,Adults (18-65 years),Both,European
cg12080266,chr21:36060640,21,36060640,CLIC6,Open sea,0.092,0.023,5.6e-05,NA,Gadd-DA_igha1_protein_levels__seqid___11089-7__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,IGHA1 protein levels (SeqId = 11089-7),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,IGHA1 protein levels (SeqId = 11089-7),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Immunoglobulin heavy constant alpha 1|Immunoglobulin heavy constant alpha 2,774,1,Adults (18-65 years),Both,European
cg23102195,chr5:28927606,5,28927606,-,Island,0.27,0.068,5.5e-05,NA,Gadd-DA_tnr_protein_levels__seqid___11302-237__somascan_protein_measurement,Gadd DA,Generation Scotland,35945220,31/07/2022,TNR protein levels (SeqId = 11302-237),NA,SomaScan protein measurement,https://doi.org/10.5281/zenodo.6801458,TNR protein levels (SeqId = 11302-237),DNA methylation,"Age, sex, pQTLs, batch effects, ancestry (genomic PCs), depression, cell composition (reference based), body mass index, smoking",NA,M values,Illumina HumanMethylationEPIC,Whole blood,Full UniProt name: Tenascin-R,774,1,Adults (18-65 years),Both,European
